,latitude,longitude
0,1.25622,103.61422
1,1.24925,103.61471
2,1.26999,103.6204
3,1.27144,103.62105
4,1.29284,103.62308
5,1.28644,103.62365
6,1.30308,103.62568
7,1.31056,103.62729
8,1.28506,103.62831
9,1.314,103.62854
10,1.29754,103.62888
11,1.31598,103.62964
12,1.30156,103.62987
13,1.32042,103.63086
14,1.31924,103.63101
15,1.292,103.63127
16,1.30719,103.63161
17,1.28781,103.63204
18,1.31079,103.63325
19,1.33252,103.6339
20,1.31055,103.63392
21,1.33019,103.63409
22,1.29589,103.63447
23,1.31637,103.6352
24,1.33639,103.63551
25,1.32671,103.63795
26,1.30203,103.63832
27,1.34544,103.63923
28,1.32935,103.64049
29,1.33597,103.64094
30,1.34442,103.6411
31,1.31602,103.64156
32,1.33674,103.64446
33,1.33287,103.64483
34,1.32012,103.6495
35,1.3356,103.65048
36,1.33448,103.65164
37,1.32106,103.65298
38,1.33305,103.65312
39,1.331,103.6543
40,1.31501,103.6559
41,1.31382,103.65662
42,1.32765,103.65769
43,1.31125,103.65827
44,1.32324,103.65871
45,1.31877,103.65956
46,1.30933,103.65962
47,1.31889,103.65973
48,1.3098,103.6601
49,1.32063,103.66145
50,1.32183,103.6628
51,1.32243,103.6629
52,1.32215,103.6638
53,1.31603,103.6642
54,1.30791,103.66436
55,1.32442,103.66448
56,1.30756,103.6653
57,1.30748,103.66532
58,1.29685,103.66535
59,1.32615,103.66565
60,1.32651,103.66581
61,1.3081,103.66593
62,1.31737,103.66629
63,1.32728,103.66662
64,1.3282,103.66808
65,1.32551,103.66908
66,1.31319,103.66929
67,1.32904,103.66955
68,1.26075,103.66991
69,1.315,103.67018
70,1.32975,103.671
71,1.33049,103.6728
72,1.33056,103.67313
73,1.33111,103.67429
74,1.26202,103.67502
75,1.31219,103.67541
76,1.32033,103.6756
77,1.33054,103.67605
78,1.33053,103.67618
79,1.33563,103.6765
80,1.3305,103.67662
81,1.34188,103.67672
82,1.25953,103.67687
83,1.31546,103.67688
84,1.23428,103.6772
85,1.31555,103.67813
86,1.32051,103.67837
87,1.3098,103.6785
88,1.32212,103.67898
89,1.32194,103.679
90,1.32215,103.679
91,1.33938,103.679
92,1.32206,103.67903
93,1.32211,103.67903
94,1.32481,103.67914
95,1.3415,103.67914
96,1.32722,103.67921
97,1.32708,103.67927
98,1.32743,103.67927
99,1.32744,103.67927
100,1.32731,103.67932
101,1.32737,103.67932
102,1.32992,103.67938
103,1.27721,103.67942
104,1.30133,103.67954
105,1.30163,103.6796
106,1.27779,103.6804
107,1.34167,103.68141
108,1.33012,103.68199
109,1.33976,103.68209
110,1.32246,103.68263
111,1.32995,103.6834
112,1.32992,103.6837
113,1.3228,103.68502
114,1.32717,103.68612
115,1.34053,103.6869
116,1.34027,103.68712
117,1.31915,103.6877
118,1.33197,103.6892
119,1.342,103.68932
120,1.34203,103.68943
121,1.34195,103.68948
122,1.34192,103.68964
123,1.3518,103.68964
124,1.3468,103.68972
125,1.33918,103.68975
126,1.34603,103.69002
127,1.34611,103.69013
128,1.32278,103.69015
129,1.26684,103.69057
130,1.26668,103.69072
131,1.34127,103.69072
132,1.34128,103.6908
133,1.34189,103.69112
134,1.34201,103.69115
135,1.34208,103.69127
136,1.34061,103.6915
137,1.34426,103.6916
138,1.34083,103.69181
139,1.34392,103.69192
140,1.34382,103.692
141,1.32323,103.69207
142,1.335,103.69211
143,1.34365,103.69212
144,1.3428,103.69215
145,1.34345,103.6923
146,1.3431,103.69257
147,1.35602,103.69275
148,1.33849,103.69288
149,1.33879,103.6929
150,1.34259,103.6929
151,1.34262,103.69294
152,1.26654,103.69313
153,1.34222,103.69355
154,1.38765,103.6936
155,1.33696,103.69382
156,1.33515,103.69412
157,1.35023,103.6942
158,1.35711,103.69443
159,1.34311,103.69447
160,1.31764,103.69453
161,1.34325,103.69463
162,1.26622,103.69471
163,1.35775,103.69487
164,1.34021,103.69489
165,1.31219,103.6949
166,1.35147,103.69503
167,1.33476,103.6951
168,1.31229,103.69525
169,1.3349,103.69547
170,1.33491,103.69573
171,1.31491,103.69579
172,1.31489,103.69581
173,1.35283,103.69606
174,1.33566,103.6963
175,1.33491,103.69636
176,1.3344,103.6964
177,1.33494,103.6964
178,1.32656,103.69642
179,1.32971,103.69642
180,1.32551,103.69644
181,1.33467,103.69645
182,1.32741,103.6965
183,1.32412,103.6966
184,1.33786,103.6968
185,1.34158,103.69715
186,1.35556,103.69722
187,1.31081,103.6973
188,1.35538,103.69752
189,1.33976,103.69798
190,1.33786,103.6982
191,1.33921,103.69821
192,1.33784,103.69839
193,1.34982,103.6989
194,1.31231,103.6995
195,1.3293,103.6998
196,1.34457,103.70026
197,1.33768,103.70073
198,1.33771,103.70074
199,1.33958,103.701
200,1.35026,103.7012
201,1.30529,103.70125
202,1.33799,103.70134
203,1.35008,103.70136
204,1.33488,103.70188
205,1.34365,103.7022
206,1.34557,103.70257
207,1.35302,103.70295
208,1.35058,103.70308
209,1.343882,103.7032
210,1.34426,103.7034
211,1.34336,103.7037
212,1.34635,103.70385
213,1.34162,103.70389
214,1.34144,103.70393
215,1.33936,103.7042
216,1.32199,103.70467
217,1.347,103.70481
218,1.36362,103.70515
219,1.3641,103.70573
220,1.3363,103.70604
221,1.26952,103.70608
222,1.37085,103.70671
223,1.33897,103.707
224,1.35421,103.7071
225,1.34414,103.70721
